name,website,investor_types,jobs_board_url,jobs_board_platform,jobs_board_how_found,portfolio_page_url,portfolio_extraction_method,portfolio_company_count,last_crawled_at,notes
2150,https://2150.vc,Pre-seed / Seed;Early-stage;Late-stage,https://2150.getro.com/jobs,getro (likely),homepage link,,,,2026-09-22T03:03:06.328067+00:00,no portfolio page found (link or guess)
360 Capital,https://www.360cap.vc/,Pre-seed / Seed;Early-stage,https://jobs.360cap.vc,consider,path/subdomain guess,https://www.360cap.vc/portfolio,homepage link,,2026-09-22T03:03:07.452144+00:00,page found but no outbound company links extracted
4impact Capital,https://www.4impact.vc/,Pre-seed / Seed;Early-stage,https://jobs.4impact.vc,unknown,path/subdomain guess,https://www.4impact.vc/portfolio,homepage link,24,2026-09-22T03:03:08.410541+00:00,
8090 Industries,https://www.8090industries.com/,Pre-seed / Seed;Early-stage;Late-stage,,,,https://8090industries.com/portfolio,path guess,2,2026-09-22T03:03:10.747508+00:00,no jobs page found (link or guess)
ABB Ventures,https://global.abb/group/en/technology/ventures,Corporate VC,,,,,,,2026-09-22T03:03:14.288303+00:00,no portfolio page found (link or guess)
Acario Innovation,https://acarioinnovation.com,Corporate VC,,,,,,,2026-09-22T03:03:19.145535+00:00,no portfolio page found (link or guess)
Accelr8,https://www.accelr8.com/,Pre-seed / Seed;Early-stage,,,,https://www.accelr8.com/companies,homepage link,,2026-09-22T03:03:20.143537+00:00,page found but no outbound company links extracted
Acre Venture Partners,http://acre.vc/,Early-stage;Late-stage,,,,,,,2026-09-22T03:03:22.163037+00:00,no portfolio page found (link or guess)
Activate Capital Partners,https://activatecp.com/,Early-stage;Late-stage;Growth,,,,https://activatecp.com/portfolio,homepage link,33,2026-09-22T03:03:25.061843+00:00,no jobs page found (link or guess)
Active Impact Investments,https://www.activeimpactinvestments.com,Pre-seed / Seed;Early-stage,,,,https://www.activeimpactinvestments.com/our-portfolio,homepage link,,2026-09-22T03:03:26.963380+00:00,page found but no outbound company links extracted
ADB Ventures,https://ventures.adb.org,Pre-seed / Seed;Early-stage,,,,,,,2026-09-22T03:03:29.401187+00:00,homepage fetch failed (403)
ADM Ventures,https://www.adm.com/products-services/admventures,Corporate VC,,,,,,,2026-09-22T03:03:30.235997+00:00,homepage fetch failed (404)
AENU,https://www.aenu.com,Pre-seed / Seed;Early-stage,https://jobs.aenu.com/jobs,getro (likely),homepage link,https://www.aenu.com/portfolio/,homepage link,2,2026-09-22T03:03:31.782669+00:00,
Aera VC,https://www.aera.vc,Pre-seed / Seed;Early-stage,,,,https://www.aera.vc/our-portfolio/,homepage link,25,2026-09-22T03:03:41.334228+00:00,no jobs page found (link or guess)
AgFunder,http://agfunder.com,Pre-seed / Seed;Early-stage,https://agfunder.com/careers/,wordpress (wp job manager) - check for RSS feed,homepage link,https://agfunder.com/portfolio/,homepage link,2,2026-09-22T03:03:42.667823+00:00,
Ahren Innovation Capital,http://www.ahreninnovationcapital.com/,Pre-seed / Seed;Early-stage;Late-stage,,,,https://www.ahreninnovationcapital.com/companies/,homepage link,2,2026-09-22T03:03:49.014308+00:00,no jobs page found (link or guess)
AiiM Partners,https://www.aiimpartners.com/,Early-stage,,,,,,,2026-09-22T03:03:54.806375+00:00,no portfolio page found (link or guess)
Airbus Ventures,http://www.airbusventures.vc/,Corporate VC,http://jobs.airbusventures.vc,consider,path/subdomain guess,http://www.airbusventures.vc/portfolio,homepage link,1,2026-09-22T03:03:55.879233+00:00,
Ajax Strategies,https://www.ajaxinvestmentstrategies.com/,Early-stage;Late-stage,,,,https://www.ajaxinvestmentstrategies.com/portfolio,homepage link,30,2026-09-22T03:03:56.876704+00:00,no jobs page found (link or guess)
Alante Capital,https://www.alantecapital.com/,Pre-seed / Seed;Early-stage,,,,https://www.alantecapital.com/portfolio,homepage link,18,2026-09-22T03:03:58.370988+00:00,no jobs page found (link or guess)
Alexandria Venture Investments,http://www.are.com/venture-investments.html,Corporate VC,http://are.com/jobs,empty/blocked response,path/subdomain guess,http://are.com/portfolio,path guess,,2026-09-22T03:03:59.939942+00:00,page found but no outbound company links extracted
Aligned Climate Capital,https://www.alignedclimatecapital.com/,Pre-seed / Seed;Early-stage;Emerging Infrastructure,https://alignedclimatecapital.com/careers/,unknown,homepage link,https://www.alignedclimatecapital.com/portfolio,homepage link,1,2026-09-22T03:04:04.604502+00:00,
Aliment Capital,https://www.alimentcap.com,Early-stage;Late-stage;Growth,https://alimentcap.com/careers,unknown,path/subdomain guess,https://www.alimentcap.com/portfolio,homepage link,1,2026-09-22T03:04:10.552331+00:00,
